Original Signal,Approximation,D 1,D 2
-1.760000000000000009e+00,7.317262968218463115e-01,-6.073008915404894126e-02,-4.523037713350903932e-02
-5.500000000000000444e-01,1.061703329706121357e+00,2.613245320215587530e-02,7.681486264383871609e-02
1.400000000000000133e-01,1.248050223887928745e+00,-5.313758572754993803e-02,-5.300976579555328333e-02
7.299999999999999822e-01,1.151853152423269133e+00,1.218837323718807153e-01,-1.365078251136733201e-01
1.010000000000000009e+00,7.497686351155088413e-01,-3.449015064578116185e-02,5.474524493595644969e-02
1.020000000000000018e+00,1.477847955390446943e-01,-1.640682675571183968e-01,2.751106742965058749e-01
9.699999999999999734e-01,-4.636044764089690129e-01,1.868368972412564055e-01,2.050506382978859732e-01
6.600000000000000311e-01,-8.828133491627232488e-01,-1.471065252751216877e-02,-7.852691900173361383e-02
1.799999999999999933e-01,-9.727376833268300826e-01,-6.436124121100166018e-02,-2.742773598992063189e-01
-5.699999999999999512e-01,-7.015504468169613261e-01,-2.221106643293125141e-02,-2.413016098022025824e-01
-1.469999999999999973e+00,-1.467898000834813588e-01,5.737279674147544029e-02,-3.810702747377833072e-02
-1.389999999999999902e+00,5.368039035431788619e-01,1.396665528845288627e-02,2.011589506684809403e-01
-4.000000000000000222e-01,1.164509005786225071e+00,-3.000748782185554478e-02,3.022820554835189411e-01
1.499999999999999944e-01,1.569067543038903834e+00,-3.066408244028059199e-02,1.443253797738992816e-01
6.400000000000000133e-01,1.639978572440653037e+00,1.449725203089254934e-02,-1.728746471289270836e-01
1.139999999999999902e+00,1.346613379619872042e+00,6.609140829232311443e-02,-3.533976935391587859e-01
1.370000000000000107e+00,7.469682537301332026e-01,-4.644345045318951093e-02,-1.856999204380859469e-01
1.560000000000000053e+00,-2.403576725631407021e-02,-7.770470119553690713e-02,1.959966881104086844e-01
1.360000000000000098e+00,-7.830498838100720116e-01,1.356826248320083805e-01,3.881669877229261822e-01
1.080000000000000071e+00,-1.343618666704622600e+00,-5.741992539962428171e-02,1.571642263132937700e-01
6.999999999999999556e-01,-1.565956978144862122e+00,-3.915769668756684252e-02,-2.372447876746868467e-01
-5.000000000000000278e-02,-1.397916557270751259e+00,4.498342786484511857e-02,-3.427237537234743003e-01
-6.600000000000000311e-01,-8.918442426830176517e-01,7.392028771335813937e-03,-9.362404533260226813e-02
-1.820000000000000062e+00,-1.901600429742207610e-01,-1.978849725198691956e-02,1.760326186309710828e-01
-3.009999999999999787e+00,5.144168867436755832e-01,-2.708707519004773662e-02,2.353135037534954399e-01
-1.070000000000000062e+00,1.034246609253621330e+00,3.199366442359874441e-02,1.344839052588380768e-01
1.000000000000000021e-02,1.237474542113752740e+00,3.767662242840762177e-02,-4.589703018584941757e-02
5.600000000000000533e-01,1.082315553506485450e+00,-6.624383081527482342e-02,-2.387877400140389905e-01
8.199999999999999512e-01,6.241047331255719088e-01,-9.815304304113162126e-03,-2.491601078296710736e-01
9.000000000000000222e-01,-2.972127699244004034e-03,4.943249203506985129e-02,3.462870623970137202e-02
9.699999999999999734e-01,-6.231460401872227495e-01,5.875772047250271690e-02,3.335812101392256479e-01
7.700000000000000178e-01,-1.065735424512871621e+00,-1.620305232177900179e-01,2.601870054311175018e-01
2.000000000000000111e-01,-1.209760000306824734e+00,9.127407758328916210e-02,-1.168462767042603018e-01
-5.000000000000000000e-01,-1.016491625822607547e+00,4.741052554175787664e-02,-3.354469958231333648e-01
-1.250000000000000000e+00,-5.403719675766089914e-01,-5.039504613363748886e-02,-1.654595783547697929e-01
