Original Signal,Approximation,D 1,D 2,D 3
-3.400000000000000244e-01,-9.351096131977496562e-01,4.646386997843302002e-02,2.778176241896646026e-01,7.860375639272396686e-01
-3.400000000000000244e-01,-1.020593093084892988e+00,-1.085396442281328071e-03,6.692475543216198919e-02,-2.782027543850090767e-01
-4.299999999999999933e-01,-1.030464625127043510e+00,-1.066504531336133965e-03,-1.709766750113548839e-01,-1.146514536996720457e+00
5.100000000000000089e-01,-9.658326008930200324e-01,-1.256544317666886124e-01,-3.264586055140964449e-01,-1.584847325604875179e+00
9.499999999999999556e-01,-8.358080330676332936e-01,2.279986527981658073e-01,-2.809276671153605465e-01,-1.544477704693485220e+00
1.320000000000000062e+00,-6.559660996761722540e-01,-1.650542402944515652e-01,4.698398856090783837e-02,-1.136108347651508144e+00
1.179999999999999938e+00,-4.462670552176820626e-01,5.626113584504989495e-02,4.248611844304925333e-01,-5.463484337511720357e-01
9.000000000000000222e-01,-2.287124648221390832e-01,-5.740124831882650186e-02,3.931980689918856964e-01,5.038993903685193981e-02
4.400000000000000022e-01,-2.479641726624034342e-02,1.050057978004538817e-01,-8.304839944720456002e-02,5.406037868507176380e-01
1.000000000000000056e-01,1.477443077064507226e-01,-5.444784595986237874e-02,-4.257801900438087372e-01,8.720885657665375934e-01
-1.199999999999999956e-01,2.765968778546694096e-01,-4.636939621971882669e-02,-2.490124101536579926e-01,1.026286782826579147e+00
-1.010000000000000009e+00,3.568472435143998922e-01,3.477339236728071298e-02,1.015742388866082424e-01,9.923664954901627588e-01
-8.299999999999999600e-01,3.896323889283572761e-01,6.007024077221324171e-02,1.766216082702338763e-01,7.688941731824014969e-01
-8.299999999999999600e-01,3.827318162767901488e-01,-3.176301075318412742e-02,7.575367660543504134e-02,3.791279796656221168e-01
-3.400000000000000244e-01,3.479466419763366236e-01,-1.144163752468024403e-01,7.047749552528494166e-02,-1.079165815093876130e-01
5.999999999999999778e-02,3.001975214043751117e-01,1.318473754318861269e-01,7.291533031206154369e-02,-5.803381517578087845e-01
5.699999999999999512e-01,2.542911542963566252e-01,-1.317539287711009741e-02,-7.939618167316903063e-02,-9.132262976799927490e-01
8.699999999999999956e-01,2.227099100198391690e-01,4.988246079053492571e-02,-2.115809836177459380e-01,-1.007546709831118159e+00
8.900000000000000133e-01,2.143508383225787017e-01,-2.294438793892920880e-01,-1.007370994537056252e-01,-8.318158798522931052e-01
6.800000000000000488e-01,2.325178444769381847e-01,1.974205182836383798e-01,1.154923550503089563e-01,-4.321605888893714220e-01
3.499999999999999778e-01,2.764940708684784365e-01,5.466271643294356303e-02,1.597452222829037760e-01,7.946394168732461016e-02
8.000000000000000167e-02,3.396708405210576709e-01,-1.304701326721720844e-01,2.940928433040072495e-02,5.590909984634788721e-01
-2.000000000000000111e-01,4.133115197966102383e-01,-1.981307592725178868e-02,-7.455102909748392848e-02,8.750557990934062502e-01
-6.199999999999999956e-01,4.856019718737890623e-01,6.452795656168996974e-02,-6.325394310370195672e-02,9.408371813715808996e-01
-6.199999999999999956e-01,5.460771159298301036e-01,2.807638241395737574e-02,4.389947520594735669e-03,7.402952229730203060e-01
-3.900000000000000133e-01,5.846554392548203305e-01,-1.647244791851006432e-02,6.096826031840435478e-02,3.298512484666947242e-01
-1.400000000000000133e-01,5.954210748079225013e-01,-3.335984290671054064e-02,5.515193621575571054e-02,-1.753597026188484231e-01
3.400000000000000244e-01,5.763313778802354737e-01,-7.584569119837084039e-02,-3.359133660525295828e-02,-6.318145502813298231e-01
7.399999999999999911e-01,5.300635918100686794e-01,1.779631975874055583e-01,-1.159302149926033226e-01,-9.083765296167722880e-01
9.899999999999999911e-01,4.618341011686998288e-01,-6.158070055962628492e-02,-6.657374572659345568e-02,-9.238512168867324403e-01
9.899999999999999911e-01,3.795724100093560427e-01,-5.764250730161938480e-02,7.558725410047006932e-02,-6.727617907460194946e-01
