Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6,D 7
-4.199999999999999845e-01,2.357023940365271172e-02,7.660624134119831119e-04,3.663460737772480380e-01,-8.993821544152142966e-01,-1.346335030293423773e-01,7.171537138165970382e-02,-5.716909732683383982e-02,9.549922189210705015e-03
-4.199999999999999845e-01,2.044588696918394136e-02,3.470671475544961915e-02,-7.104484985006059850e-02,-6.633885815194637825e-01,1.198722917808386565e-02,1.077249868572083824e-01,-6.782500487751635943e-02,6.439004701196196501e-03
-4.600000000000000200e-01,1.665733673870336412e-02,1.732050807568880080e-02,-3.882326658256319840e-01,-1.899641736919751023e-01,2.046953030891182079e-01,1.636890825845234709e-01,-6.868968537532833818e-02,9.527999778468923542e-03
6.899999999999999467e-01,1.335456341712419615e-02,-4.027323035880260305e-01,-2.541000662495838114e-01,3.834283771688073439e-01,3.871535571644337814e-01,2.138904458481597493e-01,-6.307974636775151578e-02,1.746578090225010815e-02
1.050000000000000044e+00,1.176792027663000478e-02,1.608974596215560493e-01,-1.008517233791629275e-01,8.151512544979113706e-01,4.636304298850629779e-01,2.379882451077854344e-01,-5.136155424404117986e-02,2.889379215403213574e-02
1.459999999999999964e+00,1.225454955416500208e-02,5.521469970012105044e-02,-3.244414462103012431e-01,9.169108792238993555e-01,3.905973611673827506e-01,2.220108271413816226e-01,-3.883974124875336220e-02,4.041485318299530005e-02
1.219999999999999973e+00,1.352611244809691360e-02,2.174038105676656674e-01,-4.559001340709014083e-01,7.431550620333574608e-01,2.114519929518571817e-01,1.702984689727975176e-01,-3.756853648123834044e-02,4.598384351878025134e-02
9.000000000000000222e-01,1.800439910260683007e-02,8.679963619065989011e-02,-1.534278347947321819e-01,3.947796333497010091e-01,2.012847906765563577e-03,9.691074184530998337e-02,-4.357911949792631079e-02,4.734020160866068971e-02
2.899999999999999800e-01,2.580527366618769192e-02,1.063573498500606229e-01,2.243276528900620681e-01,-2.186989375449407275e-02,-1.661149501350470681e-01,1.155950957042536920e-02,-4.834601339471808479e-02,4.475331017240033460e-02
-2.300000000000000100e-01,3.356979694499714201e-02,-4.198729810778095706e-03,4.449337541101839322e-01,-4.110266697626401289e-01,-2.984119366430269538e-01,-7.793704255835688655e-02,-5.783793197510395112e-02,3.611812350416294948e-02
-3.499999999999999778e-01,3.908656852354189942e-02,-1.448381119635937242e-01,5.104646071760520210e-01,-6.833648896338981871e-01,-3.926778229697339695e-01,-1.460965106415737791e-01,-6.347834870663526807e-02,2.791386545371543626e-02
-1.040000000000000036e+00,4.096112779965117856e-02,1.580560796608386220e-01,3.627783558059908264e-01,-8.139789951116218614e-01,-4.392484481044794942e-01,-1.772892380642495935e-01,-6.295882974788244435e-02,1.940719558414759349e-02
-9.100000000000000311e-01,4.010518669249431289e-02,-2.278765877365273584e-01,1.048725721331744132e-01,-7.103486027866497965e-01,-3.940085225183260764e-01,-1.689414411573441910e-01,-6.428568679895466098e-02,1.416532975033679698e-02
